metric	name	value
run	fixture	feature_unification_superset
run	force_molten_copy	true
run	status	completed
run	event_limit	200000
run	wall_ms	3089
run	trace_len	11343
run	selected_count	6
selected	a	1
selected	app	1
selected	b	1
selected	left_dep	1
selected	right_dep	1
selected	shared	1
trace_event	completed	1772
trace_event	demanded	2695
trace_event	memo_hit	872
trace_event	memo_projection_hit	51
trace_event	parked_on	1771
trace_event	spawned	1772
trace_event	spawned_invocation	1772
trace_event	store_alloc	638
fn_demanded	propagate	5
fn_spawned_invocations	propagate	5
fn_missing	propagate_loop	1
fn_demanded	apply_clauses	10
fn_spawned_invocations	apply_clauses	9
fn_missing	apply_one_clause	1
fn_demanded	enable_feature	31
fn_spawned_invocations	enable_feature	31
fn_demanded	feature_enabled	70
fn_spawned_invocations	feature_enabled	27
fn_demanded	domain_for	277
fn_spawned_invocations	domain_for	62
fn_demanded	force_singletons_over	10
fn_spawned_invocations	force_singletons_over	10
fn_demanded	selected_from_state	1
fn_spawned_invocations	selected_from_state	1
diag	whole_projection_reads	1093
diag	whole_array_projection_reads	823
diag	canonical_word_hash_calls	43787
diag	canonical_word_hash_store_hits	18496
diag	raw_value_hash_calls	176
diag	raw_value_hash_bytes	1556
diag	structured_value_hash_calls	558
diag	structured_value_hash_bytes	12192
diag	structured_array_elements	0
diag	structured_sequence_elements	0
diag	structured_map_pairs	0
projection_schema	Array<Int>	795
projection_schema	Array<LearnedNoGood>	11
projection_schema	Array<Version>	17
projection_schema	Domain	33
projection_schema	Map<Int,Version>	1
projection_schema	State	232
projection_schema	Version	4
