metric	name	value
run	fixture	feature_unification_superset
run	force_molten_copy	true
run	status	event_limit
run	event_limit	200000
run	wall_ms	30563
run	trace_len	200000
run	selected_count	0
trace_event	completed	27213
trace_event	demanded	50660
trace_event	memo_hit	13549
trace_event	memo_projection_hit	8428
trace_event	parked_on	28682
trace_event	spawned	28683
trace_event	spawned_invocation	28683
trace_event	store_alloc	14102
fn_demanded	propagate	293
fn_spawned_invocations	propagate	293
fn_missing	propagate_loop	1
fn_demanded	apply_clauses	294
fn_spawned_invocations	apply_clauses	294
fn_missing	apply_one_clause	1
fn_demanded	enable_feature	585
fn_spawned_invocations	enable_feature	585
fn_demanded	feature_enabled	597
fn_spawned_invocations	feature_enabled	9
fn_demanded	domain_for	3550
fn_spawned_invocations	domain_for	17
fn_demanded	force_singletons_over	294
fn_spawned_invocations	force_singletons_over	294
fn_demanded	selected_from_state	0
fn_spawned_invocations	selected_from_state	0
diag	whole_projection_reads	19463
diag	whole_array_projection_reads	12441
diag	canonical_word_hash_calls	20419059
diag	canonical_word_hash_store_hits	20216087
diag	raw_value_hash_calls	130
diag	raw_value_hash_bytes	1010
diag	structured_value_hash_calls	13496
diag	structured_value_hash_bytes	295888
diag	structured_array_elements	0
diag	structured_sequence_elements	0
diag	structured_map_pairs	0
projection_schema	Array<Int>	11557
projection_schema	Array<LearnedNoGood>	294
projection_schema	Array<Version>	590
projection_schema	State	6730
projection_schema	Version	292
