metric	name	value
run	fixture	feature_unification_superset
run	force_molten_copy	true
run	status	event_limit
run	event_limit	200000
run	wall_ms	27557
run	trace_len	200000
run	selected_count	0
trace_event	completed	27330
trace_event	demanded	50715
trace_event	memo_hit	13754
trace_event	memo_projection_hit	8198
trace_event	parked_on	28762
trace_event	spawned	28763
trace_event	spawned_invocation	28763
trace_event	store_alloc	13715
diagnostic	self-call at 23788..23841 is a demand boundary (not tail position) - not looped	1
diagnostic	self-call at 37919..37967 is a demand boundary (not tail position) - not looped	1
fn_demanded	propagate	285
fn_spawned_invocations	propagate	285
fn_demanded	propagate_loop	285
fn_spawned_invocations	propagate_loop	285
fn_demanded	apply_clauses	286
fn_spawned_invocations	apply_clauses	286
fn_missing	apply_one_clause	1
fn_demanded	enable_feature	570
fn_spawned_invocations	enable_feature	570
fn_demanded	feature_enabled	582
fn_spawned_invocations	feature_enabled	9
fn_demanded	domain_for	3454
fn_spawned_invocations	domain_for	17
fn_demanded	force_singletons_over	286
fn_spawned_invocations	force_singletons_over	286
fn_demanded	selected_from_state	0
fn_spawned_invocations	selected_from_state	0
diag	whole_projection_reads	18942
diag	whole_array_projection_reads	12107
diag	canonical_word_hash_calls	19412508
diag	canonical_word_hash_store_hits	19216053
diag	raw_value_hash_calls	134
diag	raw_value_hash_bytes	1052
diag	structured_value_hash_calls	13133
diag	structured_value_hash_bytes	331464
diag	structured_array_elements	0
diag	structured_sequence_elements	0
diag	structured_map_pairs	0
projection_schema	Array<Int>	11247
projection_schema	Array<LearnedNoGood>	286
projection_schema	Array<Version>	574
projection_schema	State	6551
projection_schema	Version	284
