plan	variant	edit_kind	rmeta_changed	rmeta_len	equal_offset_diff_ranges	lhs_replacement_window	region_summary
stable-default	top_comment	add a comment at the top	yes	4144	8..9,1251..1252,1288..1289,1293..1294,1328..1329,1331..1332,1349..1351,1353..1357,1359..1364,1365..1367,1368..1370,1371..1372,1373..1374,1375..1377,1378..1379,1380..1385,1386..1402,1411..1429,1430..1433,1434..1437	8..4099	len 4122 -> 4144; prefix 8; suffix 23; lhs-window 8..4099; rhs-window 8..4121; equal-offset-regions crate_root_and_table_directory:30,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:194
stable-default	mid_whitespace	reformat whitespace mid-file	yes	4145	8..9,1252..1253,1610..1611,1662..1663,1666..1667,1671..1672,1721..1722,1725..1727,1730..1731,1779..1780,1783..1784,1788..1789,1858..1859,1876..1877,1891..1892,1906..1907,1923..1924,1928..1929,1977..1978,3360..3361	8..4099	len 4122 -> 4145; prefix 8; suffix 23; lhs-window 8..4099; rhs-window 8..4122; equal-offset-regions crate_root_and_table_directory:31,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:35
stable-default	private_body	change a non-generic private fn body	yes	4138	8..9,3360..3361,3462..3479,3481..3485,3486..3492,3493..3541,3542..3548,3549..3591,3592..3622,3623..3627,3628..3629,3630..3637,3638..3641,3642..3679,3680..3701,3702..3799,3800..3815,3818..3827,3829..3830,3831..3838	8..4099	len 4122 -> 4138; prefix 8; suffix 23; lhs-window 8..4099; rhs-window 8..4115; equal-offset-regions crate_root_and_table_directory:34,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:14
stable-default	pub_signature	change a pub fn signature	yes	4140	8..9,1755..1759,1819..1821,1872..1874,1955..1957,3360..3361,3462..3475,3476..3500,3501..3512,3513..3536,3537..3556,3557..3568,3569..3616,3617..3663,3664..3705,3706..3741,3742..3801,3802..3817,3819..3829,3831..3836	8..4099	len 4122 -> 4140; prefix 8; suffix 23; lhs-window 8..4099; rhs-window 8..4117; equal-offset-regions crate_root_and_table_directory:36,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:15
stable-default	inline_generic_body	change a generic #[inline] fn body	yes	4152	8..9,1252..1253,1923..1924,1928..1929,1977..1978,3360..3361,3462..3481,3482..3538,3539..3597,3598..3599,3600..3601,3602..3607,3608..3611,3612..3631,3632..3674,3676..3829,3831..3844,3849..3854,3857..3859,3861..3867	8..4099	len 4122 -> 4152; prefix 8; suffix 23; lhs-window 8..4099; rhs-window 8..4129; equal-offset-regions crate_root_and_table_directory:34,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:14
stable-remap-path-prefix	top_comment	add a comment at the top	yes	3968	8..10,1251..1252,1288..1289,1293..1294,1328..1329,1331..1332,1349..1351,1353..1357,1359..1364,1365..1367,1368..1370,1371..1372,1373..1374,1375..1377,1378..1379,1380..1385,1386..1402,1411..1429,1430..1433,1434..1437	8..3923	len 3946 -> 3968; prefix 8; suffix 23; lhs-window 8..3923; rhs-window 8..3945; equal-offset-regions crate_root_and_table_directory:30,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:184
stable-remap-path-prefix	mid_whitespace	reformat whitespace mid-file	yes	3969	8..10,1252..1253,1610..1611,1662..1663,1666..1667,1671..1672,1721..1722,1725..1727,1730..1731,1779..1780,1783..1784,1788..1789,1858..1859,1876..1877,1891..1892,1906..1907,1923..1924,1928..1929,1977..1978,3360..3361	8..3923	len 3946 -> 3969; prefix 8; suffix 23; lhs-window 8..3923; rhs-window 8..3946; equal-offset-regions crate_root_and_table_directory:31,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:29
stable-remap-path-prefix	private_body	change a non-generic private fn body	yes	3962	8..10,3360..3361,3374..3391,3393..3397,3398..3404,3405..3454,3455..3458,3459..3465,3466..3503,3504..3525,3526..3563,3564..3623,3624..3639,3642..3651,3653..3654,3655..3662,3665..3667,3671..3678,3681..3683,3689..3691	8..3923	len 3946 -> 3962; prefix 8; suffix 23; lhs-window 8..3923; rhs-window 8..3939; equal-offset-regions crate_root_and_table_directory:34,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:10
stable-remap-path-prefix	pub_signature	change a pub fn signature	yes	3964	8..10,1755..1759,1819..1821,1872..1874,1955..1957,3360..3361,3374..3387,3388..3412,3413..3424,3425..3457,3458..3487,3488..3529,3530..3565,3566..3625,3626..3641,3643..3653,3655..3660,3661..3664,3665..3667,3673..3678	8..3923	len 3946 -> 3964; prefix 8; suffix 23; lhs-window 8..3923; rhs-window 8..3941; equal-offset-regions crate_root_and_table_directory:36,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:12
stable-remap-path-prefix	inline_generic_body	change a generic #[inline] fn body	yes	3976	8..10,1252..1253,1923..1924,1928..1929,1977..1978,3360..3361,3374..3393,3394..3499,3500..3653,3655..3668,3673..3678,3681..3683,3685..3691,3692..3698,3704..3708,3709..3710,3711..3713,3716..3718,3719..3768,3769..3770	8..3923	len 3946 -> 3976; prefix 8; suffix 23; lhs-window 8..3923; rhs-window 8..3953; equal-offset-regions crate_root_and_table_directory:34,crate_root_pointer:1,crosses_lazy_payload_and_crate_root:1,lazy_metadata_payload:7
